Crypto,Samples,Accuracy,Precision,Recall,F1-Score,ROC-AUC,High_Vol_%
Ethereum,43,0.6046511627906976,0.55,0.5789473684210527,0.5641025641025641,0.6469298245614035,44.18604651162791
Chainlink,54,0.5370370370370371,0.4838709677419355,0.625,0.5454545454545454,0.5416666666666666,44.44444444444444
Bitcoin,29,0.5172413793103449,0.5,0.5,0.5,0.5095238095238095,48.275862068965516
Solana,46,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.5198487712665407,50.0
Cardano,38,0.4473684210526316,0.47368421052631576,0.45,0.46153846153846156,0.5055555555555555,52.63157894736842
Polygon,33,0.48484848484848486,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.4576923076923077,39.39393939393939
Algorand,41,0.4878048780487805,0.4,0.47058823529411764,0.43243243243243246,0.49754901960784315,41.46341463414634
Cosmos,42,0.38095238095238093,0.47058823529411764,0.32,0.38095238095238093,0.32941176470588235,59.523809523809526
Avalanche,46,0.3695652173913043,0.4444444444444444,0.2962962962962963,0.35555555555555557,0.41520467836257313,58.69565217391305
Polkadot,41,0.3902439024390244,0.2857142857142857,0.375,0.32432432432432434,0.47250000000000003,39.02439024390244
